Name,Race,Property,Size,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Map1,Map2,Map3,Map4,Map5
Raggler,Brute,Wind,Small,Cyfar,Feather Of Birds,Concentration Potion,Grape,Wind Of Verdure,Goggles [1],Rough Oridecon,Monster Card,cmd_fild02,cmd_fild04,cmd_fild07,,
Raydric,Demi-Human,Dark,Large,Elunium,Iron Cain [0],Chain Mail [1],Two-Handed Sword [2],Chivalry Emblem,Brigan,Monster Card,,gl_cas02,gl_knt01,gl_knt02,,
Raydric Archer,Demon,Dark,Medium,Brigan,Chain Mail [1],Sharp Arrow,Arbalest [2],Elunium,Monster Card,,,gl_cas02,gl_step,gl_knt01,gl_knt02,
Remover,Undead,Undead,Medium,Yam,Empty Bottle,Detrimindexta,Karvodailnirol,Gas Mask,Bucket Hat [1],Used Iron Plate,Monster Card,lhz_dun01,,,,
Red Mushroom,Plant,Earth,Small,Alcohol,Karvodailnirol,Dew Laden Moss,Feather,Red Blood,Mushroom Spore,Mushroom Spore,Poison Spore,prt_maze01,prt_maze03,gef_fild02,gef_fild09,mjolnir_06
Red Plant,Plant,Earth,Small,Red Herb,Flower,Shoot,Stem,Poison Herb Rantana,Fluff,Ment,Romantic Flower [0],gef_dun00,pay_dun00,pay_dun01,pay_dun02,pay_dun03
Requiem,Demi-Human,Dark,Medium,Old Blue Box,Emperium,Zargon,Horrendous Mouth,Memento,Mantle [1],Monster Card,,in_sphinx1,in_sphinx2,in_sphinx3,in_sphinx4,in_sphinx5
Rideword,Formless,Neutral,Small,Worn Out Page,Book Of Billows,Book Of Mother Earth,Book Of Blazing Sun,Book Of Gust Of Wind,Bookclip In Memory,Old Magicbook,Monster Card,c_tower4,gl_cas01,gl_cas02,gl_in01,gl_knt01
Rocker,Insect,Earth,Medium,Grasshopper’s Leg,Green Feeler,Javelin [4],Hinalle Leaflet,Rocker Doll,Hinalle,Green Acre Guitar,Monster Card,gef_fild05,mjolnir_09,mjolnir_11,mjolnir_12,prt_fild04
Roda Frog,Fish,Water,Medium,Sticky Webfoot,Spawn,Green Herb,Emerald,Empty Bottle,Monster Card,,,gef_fild00,gef_fild01,gef_fild04,gef_fild05,gef_fild07
RSX-0806,Formless,Neutral,Large,Old Purple Box,Ice Pick,Dagger of Counter,Wrench,Cogwheel,Flashlight,Ice Pick [1],,ein_dun02,,,,
Sage Laurell,Demi-Human,Ghost,Medium,Old Blue Box,Bible [2],Encyclopedia [2],Robe of Cast,Mage Coat [1],Handcuffs,Research Chart,,teg_dun02,,,,
Sage Worm,Brute,Neutral,Small,Librarian Glove [1],Worn Out Page,Earthworm Peeling,Level 5 Fire Bolt,Blue Potion,Level 5 Cold Bolt,Ph.D Hat [0],Monster Card,gl_cas01,gl_in01,,,
Sandman,Formless,Earth,Medium,Great Nature,Grit,Rough Elunium,Fine Sand,Venom Canine,Katar of Quaking [0],Hypnotist s Staff [2],Monster Card,cmd_fild08,moc_fild16,moc_fild17,,
Sasquatch,Brute,Neutral,Large,Zargon,White Herb,Feather,Panda Hat [0],Bear s Footskin,Opal,Rough Elunium,Monster Card,prt_maze02,xmas_fild01,,,
Savage,Brute,Earth,Large,Mane,Grape,Animal Gore,Angled Glasses [0],Rough Elunium,Royal Jelly,Monster Card,,prt_fild11,,,,
Savage Babe,Brute,Earth,Small,Animal Skin,Axe [4],Meat,Feather,Phracon,Sweet Milk,Monster Card,,gef_fild05,moc_fild02,prt_fild10,prt_fild11,
Scorpion,Insect,Fire,Small,Red Blood,Scorpion Tail,Rough Elunium,Solid Shell,Fine Grit,Yellow Herb,Rusty Iron,Monster Card,moc_fild08,moc_fild14,moc_fild15,,
Sea Otter,Brute,Water,Medium,Pearl,Clam Shell,Sea-Otter Fur,Sardonyx,Sapphire,Glass Bead,Cyfar,Monster Card,cmd_fild04,,,,
Seyren Windsor,Demon,Fire,Medium,Old Blue Box,Claymore,Helm [1],Full Plate [1],Handcuffs,Dragon Killer,Ruber [1],Monster Card,lhz_dun03,,,,
Shellfish,Fish,Water,Small,Clam Shell,Clam Flesh,Stone,Grit,Venom Canine,Rough Elunium,Monster Card,,beach_dun3,cmd_fild02,cmd_fild04,cmd_fild07,
Shining Plant,Plant,Holy,Small,Blue Herb,Yellow Herb,White Herb,Illusion Flower,Yggdrasil Seed,Yggdrasil Berry,Emperium,,gef_dun00,gef_dun02,glast_01,pay_dun04,prt_maze01
Side Winder,Brute,Poison,Medium,Shining Scale,Zargon,Rough Oridecon,Tsurugi [2],Venom Canine,Snake Scale,White Herb,Monster Card,in_sphinx4,in_sphinx5,prt_maze03,cmd_fild08,
Skeleton Prisoner,Undead,Undead,Medium,Manacles,Spoon Stub,Formal Suit [1],Red Gemstone,Rotten Bandage,Shackles [0],Memento,Monster Card,gl_prison,gl_chyard,,,
Skeleton Worker,Undead,Undead,Medium,Iron,Lantern,Rough Elunium,Safety Helmet [0],Steel,Coal,Monster Card,,mjo_dun02,mjo_dun03,,,
Skeleton,Undead,Undead,Medium,Phracon,Skel-Bone,Mace [4],Jellopy,Red Herb,Skull Ring [0],Monster Card,,pay_dun00,,,,
Skeleton General,Undead,Undead,Medium,Burnt Tree,Rough Oridecon,Gladius [2],Gladius [3],Ghost Bandana [0],Monster Card,Sandstorm [4],,pay_dun04,,,,
Skeggiold,Angel,Holy,Small,Divine Cross,Angel Wing,Silk Robe [1],Odin’s Blessing [1],Soft Feather,Monster Card,Rune of Darkness,Rune of Darkness,odin_tem02,odin_tem03,,,
Skeggiold,Angel,Holy,Small,Divine Cross,Angel Wing,Silk Robe [1],Odin’s Blessing [1],Soft Feather,Monster Card,Rune of Darkness,Rune of Darkness,odin_tem02,odin_tem03,,,
Skogul,Demon,Shadow,Medium,Red Gemstone,Rouge,Rough Elunium,Blood Tears [2],Skull Ring,Brigan,Rune of Darkness,Monster Card,odin_tem01,odin_tem02,odin_tem03,,
Smokie,Brute,Earth,Small,Raccoon Leaf,Animal Skin,Potato,Kitty Band [0],Raccoon Doll,Zargon,Zircon,Monster Card,gef_fild03,gef_fild11,mjolnir_03,pay_fild08,
Snake,Brute,Earth,Medium,Snake Scale,Katana [4],Red Herb,Emveretarcon,Venom Canine,Shining Scale,Strawberry,Monster Card,pay_dun00,moc_fild03,moc_fild13,pay_fild02,pay_fild05
Sohee,Demon,Water,Medium,Black Hair,Skirt Of Virgin,Nurse Cap [0],Muffler [1],Stiletto [3],Authoritative Badge,Monster Card,,pay_dun03,pay_fild09,,,
Soldier Skeleton,Undead,Undead,Medium,Skel-Bone,Rough Oridecon,Dagger [3],Red Herb,Memento,Chain Mail [1],Stiletto [2],Monster Card,moc_pryd02,moc_pryd03,pay_dun01,pay_dun02,pay_dun03
Solider,Brute,Earth,Medium,Turtle Shell,Broken Shell,Stone Piece,Yellow Herb,Zargon,Honey,Chain,Monster Card,tur_dun02,,,,
Spring Rabbit,Brute,Earth,Medium,Brigan,Cyfar,Feather,Green Herb,Yellow Herb,Blue Herb,White Herb,Monster Card,tur_dun01,,,,
Spore,Plant,Water,Medium,Mushroom Spore,Red Herb,Blue Herb,Spore Doll,Hat [0],Poison Spore,Strawberry,Monster Card,moc_pryd01,prt_sewb1,prt_sewb2,pay_fild05,pay_fild06
Stainer,Insect,Wind,Small,Wind Of Verdure,Emveretarcon,Colorful Shell,Garlet,Rough Elunium,Solid Shell,Iron Ore,Monster Card,gef_fild06,gef_fild07,gef_fild08,mjolnir_08,mjolnir_09
Stalactic Golem,Formless,Neutral,Large,Mud Lump,Brigan,Star Crumb,Great Nature,Rough Elunium,Elunium,Monster Card,,beach_dun2,,,,
Steel Chonchon,Insect,Wind,Small,Wind Of Verdure,Steel,Garlet,Shell,Solid Shell,Iron,Iron Ore,Monster Card,orcsdun01,orcsdun02,cmd_fild09,mjolnir_01,mjolnir_06
Stem Worm,Plant,Wind,Medium,Tough Scalelike Stem,White Herb,Rough Oridecon,Great Nature,Glaive [2],Yggdrasil Seed,Skipping Rope,Monster Card,alde_dun01,prt_maze03,cmd_fild05,cmd_fild08,pay_fild11
Sting,Formless,Earth,Medium,Mud Lump,Stone Arrow,Glove [1],Coal,Great Nature,Silk Ribbon,Monster Card,,gl_sew03,gl_sew04,gl_dun01,,
Stone Shooter,Plant,Fire,Medium,Rough Oridecon,Trunk,Stone,Brown Root,Log,Strong Branch,Monster Card,,um_fild02,,,,
Succubus,Demon,Shadow,Medium,Blue Potion,Mastela Fruit,Soul Staff,Crystal Pumps,Diamond Ring,Monster Card,Succubus Horn,,gefenia01,gefenia02,gefenia03,gefenia04,
SwordFish,Fish,Water,Large,Mystic Frozen,Sharp Scale,Rough Oridecon,Unicorn Horn [0],Rough Elunium,Katana [4],Gill,Monster Card,iz_dun03,iz_dun04,,,
Tamruan,Demon,Shadow,Large,Katana [4],Bastard Sword [3],Chain Mail [1],Destroyed Armor,Tassel,Monster Card,,,ayo_dun02,,,,
Tarou,Brute,Dark,Small,Rat Tail,Animal Skin,Feather,Monster s Feed,Ora Ora,Monster Card,,,mjo_dun01,prt_sewb1,prt_sewb2,prt_sewb3,
Teddy Bear,Formless,Neutral,Small,Honey,Oridecon Hammer,Elunium,Goddess of Fortune’s Cursed Brooch,Angry Snarl,Rusty Screw,Monster Card,,ein_dun02,,,,
Tengu,Demon,Earth,Large,Tengu s Nose,Broken Wine Vessel,Fruit Of Mastela,Earth Scroll level 1-5,Monster Card,,,,ama_dun03,,,,
Thara Frog,Fish,Water,Medium,Emveretarcon,Spawn,Scell,White Herb,Sardonyx,Sticky Webfoot,Monster Card,,iz_dun01,iz_dun02,gef_fild01,tur_dun01,
Thief Bug,Insect,Neutral,Small,Worm Peeling,Jacket [1],Red Herb,Jellopy,Jacket [0],Iron Ore,Monster Card,,prt_sewb1,prt_sewb2,prt_sewb3,prt_sewb4,prt_fild06
Thief Bug Female,Insect,Dark,Medium,Worm Peeling,Garlet,Blade [4],Insect Feeler,Red Herb,Red Gemstone,Iron Ore,Monster Card,prt_sewb2,prt_sewb3,prt_sewb4,pay_fild02,
Thief Bug Male,Insect,Dark,Medium,Emveretarcon,Insect Feeler,Worm Peeling,Slayer [3],Yellow Herb,Zircon,Katana [3],Monster Card,prt_sewb4,mjolnir_06,mjolnir_09,,
Thief Bug Egg,Insect,Dark,Small,Phracon,Chrysalis,Guard [1],Sticky Mucus,Red Gemstone,Black Ladle,Iron Ore,Monster Card,prt_sewb1,prt_sewb2,prt_sewb3,prt_sewb4,prt_fild01
The Paper,Formless,Neutral,Medium,Smooth Paper,Fright Paper Blade,Yellow Herb,Green Herb,Monster Card,,,,ama_dun02,ama_dun03,,,
The Last One,Demi-Human,Fire,Medium,Old Blue Box,Old Card Album,Old Purple Box,Byeollungum,Star Dust Blade [1],Tae Goo Lyeon [2],Handcuffs,,teg_dun01,,,,
Toad,Fish,Water,Medium,Big Ribbon [0],Honey,Zircon,Alcohol,Detrimindexta,Angel s Kiss [1],Monster Card,,cmd_fild03,gef_fild01,,,
Tri Joint,Insect,Earth,Small,Cyfar,Solid Shell,Aloevera,Green Live,Venom Canine,Rough Elunium,Monster Card,,beach_dun,beach_dun2,beach_dun3,,
Turtle General,Brute,Earth,Large,Iron Driver,War Axe,Pole Axe,Broken Shell,Broken Shell,Immaterial Sword,Union Of Tribe,Monster Card,tur_dun04,,,,
Ungoliant,Insect,Poison,Large,Rainbow Shell,Ant Jaw,Boots [1],Peridot,Insect Leg,Fluorescent Liquid,Monster Card,,ein_dun01,ein_fild02,ein_fild07,,
Valkyrie,Angel,Holy,Large,Old Purple Box,Valkyrja’s Shield [1],Valhalla’s Flower,,,,,,odin_tem02,odin_tem03,,,
Valkyrie Randgris,Angel,Holy,Large,Helm [1],Valkyrian Armor [1],Valkyrian Shoes [1],Valkyrian Manteau [1],Bloody Edge,Valhalla’s Flower,Monster Card,,odin_tem03,,,,
Vadon,Fish,Water,Small,Crystal Blue,Nipper,Garlet,Padded Armor [1],Solid Shell,Rough Elunium,Blue Gemstone,Monster Card,iz_dun00,iz_dun01,,,
Vagabond Wolf,Brute,Earth,Medium,Western Grace [0],Wolf Claw,Topaz,Star Dust Blade [1],Monster Card,Monster Juice,Monster Card,,prt_maze03,pay_fild02,,,
Venomous,Formless,Poison,Medium,Old Blue Box,Bacillus,Poisonous Powder,Dust Pollutant,Toxic Gas,Monster Card,,,ein_dun01,,,,
Wootan Fighter,Demi-Human,Fire,Medium,Banana,Meat,Waghnak [3],Finger [2],Banana Hat,Shoulder Protector,Huge Leaf,Monster Card,um_fild01,um_fild02,,,
Wootan Shooter,Demi-Human,Earth,Medium,Banana,Apple,Banana Hat,Stone [2],Cacao,Slingshot,Elastic Band,Monster Card,um_fild04,,,,
Verit,Undead,Undead,Medium,Immortal Heart,Zargon,Rotten Bandage,White Herb,Skull Ring [0],Flower Ring [0],Armlet Of Obedience,Monster Card,moc_pryd05,moc_pryd06,,,
Violy,Demi-Human,Neutral,Medium,Royal Jelly,Puppet,Golden Hair,Violin [4],Monster Card,Cursed Water,Professional Cooking Kit,Bass Guitar [1],gefenia01,gefenia02,gefenia03,gefenia04,
Vitata,Insect,Earth,Small,Green Live,Worm Peeling,Scell,Honey,Honey,Royal Jelly,Rough Oridecon,Monster Card,anthell01,anthell02,,,
Vocal,Insect,Earth,Medium,Romantic Gent [0],Grasshopper’s Leg,Emerald,Rocker Doll,Angel s Reincarnation [1],Concentration Potion,Gentle Breeze Guitar,Monster Card,prt_maze03,prt_fild07,,,
Wanderer,Demon,Wind,Medium,Skull,Old Card Album,Romantic Leaf,Yggdrasil Leaf,Oridecon,Muramasa [0],Monster Card,,gl_cas02,gl_in01,treasure02,pay_fild09,
Whisper,Demon,Ghost,Small,Venom Canine,Fabric,Halo [0],Gladius [3],Monster Card,,,,c_tower4,gef_dun01,gef_dun02,gl_cas01,gl_prison
Whisper,Undead,Ghost,Small,Venom Canine,Fabric,Silver Robe [1],,,,,,gl_cas02,pay_dun03,,,
Giant Whisper,Demon,Ghost,Small,Venom Canine,Fabric,Halo [0],Silver Robe [1],Monster Card,,,,gl_knt01,pay_dun03,,,
White Plant,Plant,Earth,Small,White Herb,Flower,Deadly Noxious Herb,Stem,Poison Herb Seratum,Aloe Leaflet,Hinalle,Romantic Flower [0],gef_dun01,gef_dun02,orcsdun01,orcsdun02,pay_dun02
Wicked Nymph,Demon,Shadow,Medium,Limpid Celestial Robe,Soft Silk Cloth,Oridecon,Heal Scroll level 5,Mandolin [3],Lyte [3],Oriental Lute,Monster Card,gon_dun03,,,,
Wickebine Tres,Demi-Human,Poison,Medium,Gladius [3],Fortune Sword,Adventurer’s Suit [1],Chain Mail [1],Rogue’s Treasure,Handcuffs,Cowardice Blade [2],Monster Card,lhz_dun01,lhz_dun02,,,
Wild Ginseng,Plant,Fire,Small,Leaflet Of Hinal,Leaflet Of Aloe,Root Of Maneater,Blossom Of Maneater,Strawberry,Potato,Rope [4],Monster Card,gon_dun03,,,,
Wild Rose,Brute,Wind,Small,Cyfar,Witherless Rose,Nut Shell [0],Thief Clothes [1],Rotten Fish,Monster s Feed,Big Ribbon [0],Monster Card,prontera,morocc,alberta,aldebaran,geffen
Willow,Plant,Earth,Medium,Tree Root,Trunk,Resin,Potato,Tree Of Archer 3,Tree Of Archer 2,Tree Of Archer 1,Monster Card,gef_fild00,gef_fild04,gef_fild05,gef_fild07,moc_fild03
Wind Ghost,Demon,Wind,Medium,Zargon,Skel-Bone,Skull,Wind Scroll 1 5,Arc Wand,Rough Wind,Bone Wand,Monster Card,gl_sew04,gl_step,,,
Wizard Kathryne,Demi-Human,Ghost,Medium,Old Blue Box,Survivor’s Rod,Gentleman’s Staff [1],Robe of Cast,Mage Coat [1],Handcuffs,Research Chart,,teg_dun01,,,,
Wolf,Brute,Earth,Medium,Emveretarcon,Wolf Claw,Mantle,Meat,Monster s Feed,Animal Skin,Strawberry,Monster Card,mjolnir_09,moc_fild04,moc_fild05,pay_fild02,
Worm Tail,Plant,Earth,Medium,Green Live,Emveretarcon,Pointed Scale,Pike [4],Yellow Herb,Emerald,Green Lace,Monster Card,mjolnir_09,pay_fild03,pay_fild11,,
Wraith,Undead,Undead,Large,Fabric,Wedding Veil [0],Manteau [1],Red Gemstone,Butterfly Wing,Manteau,2carat Diamond,Monster Card,gl_chyard,gl_step,in_sphinx5,,
Yao Jun,Undead,Undead,Medium,Amulet,Elunium,Boots [1],Brigan,Munak Doll,,,,lou_dun02,lou_dun03,,,
Yellow Plant,Plant,Earth,Small,Yellow Herb,Flower,Shoot,Stem,Poison Herb Seratum,Singing Plant,Fluff,Romantic Flower [0],gef_dun00,pay_dun03,prt_maze01,prt_maze03,cmd_fild05
Yoyo,Brute,Earth,Small,Yoyo Tail,Banana,Yellow Herb,Cacao,Yoyo Doll,Rough Oridecon,Strawberry,Monster Card,gef_fild10,mjolnir_08,prt_fild03,prt_fild11,
Zenorc,Demi-Human,Dark,Medium,Zenorc s Fang,Rough Oridecon,Sticky Mucus,Old Magicbook,Yellow Herb,Shining Stone,Monster Card,,orcsdun02,,,,
Zerom,Demi-Human,Fire,Medium,Emveretarcon,Iron,Pantie [0],Gangster Mask [0],Shackles [0],Iron Ore,Monster Card,,in_sphinx1,in_sphinx2,,,
Zealotus,Demi-Human,Neutral,Medium,Executioner’s Mitten,White Herb,Rose Quartz,Tights [1],Earring [1],Masquerade,Queen’s whip,Monster Card,gl_prison1,gefenia01,gefenia02,gefenia03,gefenia04
Zhu Po Long,Dragon,Wind,Medium,Dragon Scale,Yarn,Dragon Horn,Denture from Dragon Mask,Little Ghost Doll,Monster Card,,,lou_dun02,lou_dun03,,,
Zipper Bear,Brute,Shadow,Medium,Black Bear s Skin,Mystery Iron Bit,Royal Jelly,Honey,Apple,Monster Card,,,gon_dun01,gon_fild01,,,
Zombie,Undead,Undead,Medium,Decayed Nail,Cursed Ruby,Sticky Mucus,Horrendous Mouth,Opal,Monster Card,,,gl_chyard,pay_dun00,,,
Zombie Prisoner,Undead,Undead,Medium,Worn-out Prison Uniform,Spoon Stub,Iron Cain [0],Red Gemstone,Rotten Bandage,Shackles [0],Elunium,Monster Card,gl_prison,,,,
